prc_energy_h_1,prc_energy_h_2,prc_energy_h_3,ridge_energy_h_1,ridge_energy_h_2,ridge_energy_h_3,lasso_energy_h_1,lasso_energy_h_2,lasso_energy_h_3,xgb_energy_h_1,xgb_energy_h_2,xgb_energy_h_3,cb_ridge_lasso_energy_h_1,cb_ridge_lasso_energy_h_2,cb_ridge_lasso_energy_h_3,cb_ridge_pcr_energy_h_1,cb_ridge_pcr_energy_h_2,cb_ridge_pcr_energy_h_3,cb_ridge_prc_lasso_energy_h_1,cb_ridge_prc_lasso_energy_h_2,cb_ridge_prc_lasso_energy_h_3,ar_1_energy_h_1,ar_1_energy_h_2,ar_1_energy_h_3,xgb_pca_energy_h_1,xgb_pca_energy_h_2,xgb_pca_energy_h_3
-4.155892099552304,-3.5019138713654185,-5.420583293081252,-7.05271865140415,-9.44463854641224,-11.107263981481802,-7.1200805767521915,-7.807005636861117,-7.617961007690813,-5.945118,-7.011832,-6.1201973,-7.086399614078171,-8.625822091636678,-9.362612494586308,-7.05271865140415,-9.44463854641224,-11.107263981481802,-6.109563775902881,-6.917852684879591,-8.048602760751288,-5.961139635212413,-6.310830552677102,-6.639044318953699,-6.1047997,-6.226882,-6.193914
-5.274628222576668,-3.676027080727012,-3.29508949440077,-6.086977360389623,-7.613480407902436,-9.434697184769137,-6.200785404651291,-6.835527411165993,-6.75932033126485,-4.5602393,-6.87469,-6.362812,-6.143881382520457,-7.2245039095342145,-8.097008758016994,-6.086977360389623,-7.613480407902436,-9.434697184769137,-5.854130329205861,-6.041678299931814,-6.496369003478253,-5.2074980189922915,-5.366311965400142,-5.707176735965856,-4.193218,-5.342348,-6.1414876
-9.317182096147848,-5.994367130307,-4.609864396766106,-9.362514947464565,-7.602129487895248,-8.593869481762871,-9.427426092614173,-6.70662638078012,-5.992973711674845,-7.770143,-6.5277762,-6.6664596,-9.394970520039369,-7.154377934337685,-7.293421596718858,-9.362514947464565,-7.602129487895248,-8.593869481762871,-9.369041045408862,-6.767707666327456,-6.39890253006794,-7.912791410847443,-4.662483823666085,-4.823587450851702,-6.805299,-5.0734777,-6.0465093
-8.468858952186944,-8.855103927855001,-5.451154649798892,-9.833325933484735,-10.145078010918969,-8.555991073756083,-9.84219151432967,-9.262292402576737,-5.736625417607445,-7.600028,-6.6178584,-5.265188,-9.837758723907204,-9.703685206747853,-7.146308245681764,-9.833325933484735,-10.145078010918969,-8.555991073756083,-9.38145880000045,-9.420824780450236,-6.58125704705414,-8.264859975594286,-7.188965349971162,-4.1651620763009065,-6.9197025,-6.2279572,-5.9460764
-9.321860910637206,-9.309775127864029,-9.153042848834753,-9.526170764113758,-10.510029167380797,-10.62316270530374,-9.548430205360985,-9.67332935905194,-8.66857456196004,-7.8807526,-7.052767,-7.219747,-9.537300484737372,-10.091679263216369,-9.64586863363189,-9.526170764113758,-10.510029167380797,-10.62316270530374,-9.46548729337065,-9.831044551432257,-9.481593372032846,-7.854950972246904,-7.5177632273118045,-6.528664537504908,-7.0177183,-6.3217688,-6.634685
-7.62843068450356,-9.368512683550504,-9.296885831539177,-8.21774290908153,-10.331291162556203,-10.872503465130766,-8.296933558406941,-9.763641345127354,-9.131132245185194,-6.644926,-7.323027,-7.249173,-8.257338233744235,-10.04746625384178,-10.00181785515798,-8.21774290908153,-10.331291162556203,-10.872503465130766,-8.047702383997343,-9.82114839707802,-9.766840513951712,-7.4121779220137745,-7.134947992727172,-6.83625221793801,-6.762814,-6.3275557,-6.674622
-6.05727405753078,-7.4616671884139,-9.220078528321444,-6.399442379720439,-8.379168503528714,-10.506806117116795,-6.475530840803849,-8.184081452772233,-8.942628919836404,-4.2081265,-6.8068237,-6.6217504,-6.437486610262144,-8.281624978150473,-9.7247175184766,-6.399442379720439,-8.379168503528714,-10.506806117116795,-6.310749092685022,-8.00830571490495,-9.556504521758214,-5.889634252804629,-6.721440927235605,-6.478131748935256,-3.8080153,-6.2898364,-6.598123
-6.921004835789121,-5.7869496192955365,-7.207843668650252,-6.936049150179171,-6.594031931665096,-8.57009706383553,-7.0326096296515335,-6.47063625830554,-7.474167633496983,-4.1874537,-3.032904,-6.666038,-6.984329389915352,-6.532334094985318,-8.022132348666256,-6.936049150179171,-6.594031931665096,-8.57009706383553,-6.963221205206608,-6.283872603088724,-7.750702788660921,-6.472289059034028,-5.299532876585394,-6.091299327309012,-4.0898223,-2.676462,-6.5997205
-4.396439925593512,-5.288580038251019,-4.134194979306199,-6.430548811170171,-6.738766970492691,-6.667015714819977,-6.439551560409768,-6.68260569296819,-5.764882204076228,-4.3184533,-3.7877407,-2.793251,-6.43505018578997,-6.71068633173044,-6.215948959448102,-6.430548811170171,-6.738766970492691,-6.667015714819977,-5.75551343239115,-6.236650900570633,-5.522030966067469,-5.387961981785843,-5.843675929085136,-4.7611161685061525,-4.158128,-3.1561017,-2.8082938
-2.510862929133418,-3.998304706149036,-4.692119033592713,-3.2087731708773437,-6.339477856427966,-6.534821058458146,-3.3993553552325686,-6.3580209899795594,-5.931795983877952,-2.6373358,-3.804604,-3.4909315,-3.304064263054956,-6.348749423203763,-6.233308521168048,-3.2087731708773437,-6.339477856427966,-6.534821058458146,-3.0396638184144433,-5.565267850852187,-5.71957869197627,-3.189591130530034,-4.831019654025339,-5.270157469794062,-3.0019388,-2.8027143,-3.6040695
